player,team,matches,runs_scored,batting_avg,strike_rate,wickets_taken,bowling_avg,economy_rate,maidens,dot_balls,key_wickets,catches,run_outs,potm_wins,potm_rate,team_wins,win_rate,avg_last_5_runs,avg_last_5_wickets
GB Hogg,Kolkata Knight Riders,204,939,4.6,76.84,258,25.86,5.19,59,3784,98,38,13,6,0.03,124,0.61,0.0,0.8
NJ Reardon,Brisbane Heat,36,721,20.03,121.38,0,29.0,13.38,0,2,0,12,1,0,0.0,10,0.28,16.8,0.0
TS Mills,Sussex,219,217,0.99,69.11,321,22.38,7.34,23,2400,139,29,8,2,0.01,118,0.54,0.0,1.6
HWR Cartwright,Perth Scorchers,174,5955,34.22,66.17,40,32.15,4.39,27,1119,13,104,5,7,0.04,78,0.45,56.4,0.6
TT Bresnan,Yorkshire,367,6763,18.43,60.68,603,29.92,4.31,651,16507,293,145,11,6,0.02,181,0.49,57.8,1.6
MS Harris,Perth Scorchers,154,8077,52.45,57.76,0,55.0,4.4,1,45,0,73,2,6,0.04,62,0.4,13.0,0.0
XJ Doherty,Melbourne Renegades,101,201,1.99,50.63,106,36.55,5.12,51,2322,62,26,5,2,0.02,48,0.48,0.0,0.8
BR McDermott,Melbourne Renegades,225,7330,32.58,77.7,0,68.0,4.86,3,44,0,135,5,10,0.04,101,0.45,14.8,0.0
BJ Webster,Australia,156,5878,37.68,70.93,162,33.79,3.83,218,5724,64,129,4,6,0.04,54,0.35,46.0,2.4
SL Rainbird,Hobart Hurricanes,41,255,6.22,52.69,67,33.81,4.03,104,2289,36,12,1,1,0.02,16,0.39,0.0,1.2
JK Reed,Hobart Hurricanes,9,8,0.89,266.67,13,20.62,9.51,0,62,7,2,2,0,0.0,4,0.44,1.6,1.6
CT Bancroft,Gloucestershire,235,9971,42.43,57.25,2,38.5,7.7,0,29,1,243,4,9,0.04,102,0.43,26.0,0.0
RJ Quiney,Melbourne Stars,42,909,21.64,113.91,0,36.0,1.33,12,137,0,25,0,2,0.05,17,0.4,19.8,0.0
LJ Wright,Quetta Gladiators,361,11713,32.45,98.43,46,45.43,6.17,5,867,35,112,13,21,0.06,158,0.44,32.0,0.0
EP Gulbis,Melbourne Stars,34,386,11.35,126.97,12,41.67,8.45,0,97,9,10,1,0,0.0,12,0.35,15.8,0.2
BW Hilfenhaus,Melbourne Stars,120,616,5.13,60.22,221,28.16,3.93,289,6496,128,26,4,6,0.05,59,0.49,1.4,1.8
SM Boland,Australia,125,344,2.75,34.16,315,22.54,3.56,393,8451,165,18,2,6,0.05,59,0.47,0.8,1.4
MA Beer,Melbourne Stars,55,31,0.56,50.82,48,30.15,5.62,12,718,33,8,1,3,0.05,25,0.45,0.6,1.0
CJ Gannon,Melbourne Renegades,75,726,9.68,49.59,176,24.39,3.52,280,5345,88,39,1,1,0.01,29,0.39,4.8,0.6
KR Patterson,Sydney Thunder,107,3639,34.01,58.31,0,0.0,0.0,0,0,0,78,4,1,0.01,43,0.4,15.2,0.0
JM Vince,Karachi Kings,539,21508,39.9,89.58,12,58.0,4.35,13,590,5,363,19,32,0.06,267,0.5,12.8,0.0
SR Watson,St Lucia Zouks,531,17277,32.54,91.29,458,27.92,5.03,251,8601,236,185,21,56,0.11,292,0.55,22.6,2.2
BJ Rohrer,Sydney Thunder,64,1206,18.84,129.4,0,12.0,10.29,0,1,0,18,5,0,0.0,27,0.42,15.6,0.0
CR Brathwaite,St Kitts and Nevis Patriots,283,3022,10.68,114.3,295,27.77,7.3,25,2487,151,104,12,8,0.03,121,0.43,7.2,1.4
RJ Gibson,Adelaide Strikers,26,285,10.96,101.79,0,10.0,10.0,0,1,0,11,1,1,0.04,9,0.35,9.2,0.0
JS Lenton,Sydney Sixers,11,141,12.82,131.78,0,0.0,0.0,0,0,0,6,2,0,0.0,2,0.18,6.0,0.0
CJ Green,Sydney Thunder,259,2623,10.13,89.98,273,27.61,5.06,124,4723,163,137,6,7,0.03,117,0.45,2.0,1.0
AJ Nair,New South Wales,32,238,7.44,112.26,22,28.77,7.03,2,179,13,8,0,0,0.0,13,0.41,12.6,0.2
CJ McKay,Leicestershire,185,1440,7.78,67.2,349,24.49,4.31,270,7601,181,23,8,6,0.03,75,0.41,3.0,0.8
Fawad Ahmed,Sydney Thunder,165,98,0.59,73.68,187,25.03,6.67,14,1619,116,16,5,6,0.04,86,0.52,1.0,0.8
TP Ludeman,Adelaide Strikers,41,924,22.54,119.38,0,0.0,0.0,0,0,0,23,5,3,0.07,20,0.49,38.2,0.0
BJ Hodge,St Kitts and Nevis Patriots,178,4713,26.48,113.81,24,22.42,7.44,0,147,17,74,9,16,0.09,88,0.49,25.4,0.0
JS Lehmann,Yorkshire,85,3187,37.49,64.93,1,126.0,4.18,6,114,1,40,2,1,0.01,31,0.36,61.0,0.0
JR Dean,Adelaide Strikers,19,317,16.68,132.08,0,0.0,0.0,0,0,0,5,0,0,0.0,9,0.47,18.2,0.0
AT Carey,Australia,229,8473,37.0,83.33,0,0.0,0.0,0,0,0,382,17,10,0.04,108,0.47,74.6,0.0
MG Neser,Adelaide Strikers,184,3169,17.22,67.0,406,23.06,3.76,506,10551,207,89,9,8,0.04,81,0.44,5.8,1.4
IS Sodhi,New Zealand,363,2676,7.37,57.22,616,28.4,4.76,352,12777,285,91,5,6,0.02,192,0.53,22.4,3.2
B Laughlin,Adelaide Strikers,124,144,1.16,79.12,157,23.5,8.0,3,911,67,39,8,1,0.01,67,0.54,0.2,1.2
LN O'Connor,Adelaide Strikers,23,7,0.3,28.0,16,36.88,7.7,0,126,9,7,1,1,0.04,11,0.48,0.4,0.2
