venue,team,matches,wins,losses,win_rate,lose_rate
"Kingsmead, Durban",Knights,11,3,7,0.27,0.64
"Boland Park, Paarl",Titans,3,2,1,0.67,0.33
"Newlands, Cape Town",Lions,6,2,4,0.33,0.67
"New Wanderers Stadium, Johannesburg",Dolphins,6,0,5,0.0,0.83
"Buffalo Park, East London",Warriors,16,8,4,0.5,0.25
"Buffalo Park, East London",Cape Cobras,3,0,3,0.0,1.0
Sheikh Zayed Stadium,New Zealand,11,7,4,0.64,0.36
Church Street Park,Panama,5,1,4,0.2,0.8
Church Street Park,Canada,5,4,1,0.8,0.2
Galle International Stadium,India,9,4,5,0.44,0.56
Colombo Cricket Club Ground,Sri Lanka,2,0,2,0.0,1.0
Maharashtra Cricket Association Stadium,West Indies,1,1,0,1.0,0.0
Hazelaarweg,Israel,1,1,0,1.0,0.0
Hazelaarweg,Gibraltar,2,0,2,0.0,1.0
"Warner Park, St Kitts",West Indies,4,1,2,0.25,0.5
"Warner Park, St Kitts",England,2,2,0,1.0,0.0
Botswana Cricket Association Oval 1,Mozambique,3,2,1,0.67,0.33
Botswana Cricket Association Oval 1,Botswana,7,5,2,0.71,0.29
Botswana Cricket Association Oval 2,Mozambique,3,1,2,0.33,0.67
Botswana Cricket Association Oval 2,Namibia,6,6,0,1.0,0.0
Botswana Cricket Association Oval 1,Namibia,4,3,1,0.75,0.25
Botswana Cricket Association Oval 1,Lesotho,5,1,4,0.2,0.8
Botswana Cricket Association Oval 1,Malawi,3,1,2,0.33,0.67
"Mission Road Ground, Mong Kok",China,2,0,2,0.0,1.0
"Mission Road Ground, Mong Kok",South Korea,1,1,0,1.0,0.0
"Mission Road Ground, Mong Kok",Japan,1,1,0,1.0,0.0
Kennards Hire Community Oval,Auckland Aces,22,12,6,0.55,0.27
Kennards Hire Community Oval,Central Stags,5,3,1,0.6,0.2
Hagley Oval,Northern Districts,7,1,4,0.14,0.57
University of Otago Oval,Otago Volts,19,3,9,0.16,0.47
University of Otago Oval,Auckland Aces,4,1,1,0.25,0.25
Molyneux Park,Otago,8,3,5,0.38,0.62
University Oval,Auckland,3,1,0,0.33,0.0
University Oval,Otago,15,5,8,0.33,0.53
Hagley Oval,Central Districts,4,3,1,0.75,0.25
UKM-YSD Cricket Oval,China,3,0,3,0.0,1.0
UKM-YSD Cricket Oval,Thailand,2,1,0,0.5,0.0
Bayuemas Oval,Myanmar,4,0,4,0.0,1.0
Bayuemas Oval,Nepal,8,7,0,0.88,0.0
Bayuemas Oval,China,2,0,2,0.0,1.0
Bayuemas Oval,Bhutan,1,1,0,1.0,0.0
Bayuemas Oval,Thailand,3,1,2,0.33,0.67
UKM-YSD Cricket Oval,Singapore,2,2,0,1.0,0.0
UKM-YSD Cricket Oval,Bhutan,2,0,2,0.0,1.0
Bayuemas Oval,Singapore,8,5,2,0.62,0.25
"St George's Park, Port Elizabeth",Nelson Mandela Bay Giants,10,6,4,0.6,0.4
"St George's Park, Port Elizabeth",Paarl Rocks,2,1,1,0.5,0.5
"New Wanderers Stadium, Johannesburg",Jozi Stars,9,2,7,0.22,0.78
"New Wanderers Stadium, Johannesburg",Durban Heat,1,0,1,0.0,1.0
"SuperSport Park, Centurion",Cape Town Blitz,1,1,0,1.0,0.0
"SuperSport Park, Centurion",Tshwane Spartans,8,3,3,0.38,0.38
"Newlands, Cape Town",Cape Town Blitz,11,5,6,0.45,0.55
"Newlands, Cape Town",Durban Heat,2,2,0,1.0,0.0
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,12,8,4,0.67,0.33
